sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
digestate_pe_415,600,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,20.76710435,mix
digestate_pe_416,600,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,33.64421416,mix
digestate_pe_417,600,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,17.10254646,mix
digestate_pe_470,600,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,31.15044248,mix
digestate_pe_418,600,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,16.26630062,mix
digestate_pe_420,600,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,30.38635573,mix
digestate_pe_436,600,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,30.92465753,mix
digestate_pe_471,600,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,13.44683808,mix
digestate_pe_472,600,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,24.81151474,mix
digestate_pe_438,600,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,18.41831426,mix
digestate_pe_439,600,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,17.78235496,mix
digestate_pe_440,600,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,30.5401662,mix
digestate_pe_441,600,1.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,22.54196643,mix
