sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
refuse_derived_23,800,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,20.93182597,plastic
refuse_derived_24,1000,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,37.88575181,plastic
refuse_derived_25,1000,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,26.73267327,plastic
refuse_derived_26,1000,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,36.2804878,plastic
refuse_derived_28,600,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,23.00653595,plastic
refuse_derived_29,600,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,8.099173554,plastic
refuse_derived_31,600,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,28.88811915,plastic
refuse_derived_32,800,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,56.31456181,plastic
refuse_derived_34,1000,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,58.89303483,plastic
refuse_derived_35,1000,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,51.6963386,plastic
refuse_derived_36,800,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,57.39565943,plastic
refuse_derived_37,800,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,44.59731544,plastic
refuse_derived_39,1000,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,73.91608392,plastic
refuse_derived_40,600,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,23.06397306,plastic
refuse_derived_41,600,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,32.23318939,plastic
refuse_derived_42,600,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,57.52212389,plastic
refuse_derived_43,800,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,73.61921098,plastic
refuse_derived_44,800,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,52.81198003,plastic
refuse_derived_45,800,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,69.23349894,plastic
refuse_derived_46,1000,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.95097703,plastic
